TF,gene,effect
Lrp,fimH,+
Lrp,yjiC,+
Lrp,yjiC,-
Lrp,osmY,-
Lrp,osmY,+
Lrp,osmY,-
Lrp,serB,+
Lrp,radA,+
Lrp,serB,-
Lrp,radA,-
Lrp,micF,-
TorR,torR,-
TorR,torC,+
TorR,torA,+
TorR,torD,+
TorR,hdeA,+
TorR,hdeB,+
TorR,yhiD,+
TorR,gadA,-
TorR,gadX,-
TorR,tnaC,+
TorR,tnaA,+
TorR,tnaB,+
RutR,carA,+
RutR,carB,+
RutR,fepB,-
RutR,rutG,-
RutR,rutF,-
RutR,rutE,-
RutR,rutD,-
RutR,rutC,-
RutR,rutB,-
RutR,rutA,-
RutR,rutR,-
RutR,pdeR,-
RutR,nemR,-
RutR,nemA,-
RutR,gloA,-
RutR,gadX,-
RutR,gadW,-
PutA,putA,-
PutA,putP,-
CsgD,pepD,-
CsgD,iraP,+
CsgD,dgcC,+
CsgD,yccT,+
CsgD,yccJ,+
CsgD,wrbA,+
CsgD,csgG,+
CsgD,csgF,+
CsgD,csgE,+
CsgD,csgD,+
CsgD,csgB,+
CsgD,csgA,+
CsgD,csgC,+
CsgD,flgN,-
CsgD,flgM,-
CsgD,fliA,-
CsgD,fliZ,-
CsgD,tcyJ,-
CsgD,fliE,-
CsgD,fliF,-
CsgD,fliG,-
CsgD,fliH,-
CsgD,fliI,-
CsgD,fliJ,-
CsgD,fliK,-
CsgD,yhbS,-
CsgD,yhbT,-
CsgD,nlpA,+
ComR,bhsA,-
PhoP,gadF,+
PhoP,hemL,+
PhoP,acrA,-
PhoP,acrB,-
PhoP,borD,+
PhoP,ompT,+
PhoP,pagP,+
PhoP,nagA,+
PhoP,ybjG,+
PhoP,rutG,+
PhoP,rutF,+
PhoP,rutE,+
PhoP,rutD,+
PhoP,rutC,+
PhoP,rutB,+
PhoP,rutA,+
PhoP,phoQ,+
PhoP,phoQ,-
PhoP,phoP,+
PhoP,phoP,-
PhoP,iraM,+
PhoP,cysB,+
PhoP,ydeO,-
PhoP,safA,-
PhoP,ydeP,-
PhoP,rstA,+
PhoP,rstB,+
PhoP,slyB,-
PhoP,slyB,+
PhoP,mgrB,+
PhoP,fadL,+
PhoP,tolC,+
PhoP,ygiA,+
PhoP,ygiB,+
PhoP,ygiC,+
PhoP,yrbL,+
PhoP,dcuD,-
PhoP,argD,-
PhoP,glgP,+
PhoP,glgA,+
PhoP,glgB,+
PhoP,glgX,+
PhoP,glgC,+
PhoP,glgA,+
PhoP,glgP,+
PhoP,hdeA,+
PhoP,hdeB,+
PhoP,yhiD,+
PhoP,hdeD,+
PhoP,gadE,+
PhoP,gadW,+
PhoP,malS,+
PhoP,metB,+
PhoP,metL,+
PhoP,purD,+
PhoP,purH,+
PhoP,treR,-
PhoP,mgtA,+
PhoP,yneM,+
PhoP,mgrR,+
PhoP,mgtL,+
BluR,ycgZ,-
BluR,ymgA,-
BluR,ariR,-
BluR,ymgC,-
FadR,sroD,-
FadR,accA,+
FadR,fadE,-
FadR,fadM,-
FadR,fabA,+
FadR,fabH,+
FadR,fabD,+
FadR,fabG,+
FadR,fadR,+
FadR,fabI,+
FadR,fadD,-
FadR,accD,+
FadR,fabB,+
FadR,fadJ,-
FadR,fadI,-
FadR,fadL,-
FadR,fadH,-
FadR,accB,+
FadR,accC,+
FadR,uspA,-
FadR,fadA,-
FadR,fadB,-
FadR,iclR,+
DhaR,dhaM,+
DhaR,dhaL,+
DhaR,dhaK,+
DhaR,dhaR,-
NarL,caiF,-
NarL,citG,-
NarL,citX,-
NarL,citF,-
NarL,citE,-
NarL,citD,-
NarL,citC,-
NarL,dpiB,-
NarL,dpiA,-
NarL,moeB,+
NarL,moeA,+
NarL,hcp,+
NarL,hcr,+
NarL,cydD,+
NarL,cydC,+
NarL,dmsA,-
NarL,dmsB,-
NarL,dmsC,-
NarL,focA,-
NarL,pflB,-
NarL,hyaA,-
NarL,hyaB,-
NarL,hyaC,-
NarL,hyaD,-
NarL,hyaE,-
NarL,hyaF,-
NarL,torC,-
NarL,torA,-
NarL,torD,-
NarL,narK,+
NarL,narG,+
NarL,narH,+
NarL,narJ,+
NarL,narI,+
NarL,adhE,-
NarL,ompW,-
NarL,ogt,+
NarL,fdnG,+
NarL,fdnH,+
NarL,fdnI,+
NarL,ydeP,+
NarL,ynfE,-
NarL,ynfF,-
NarL,ynfG,-
NarL,ynfH,-
NarL,dmsD,-
NarL,ydhY,-
NarL,ydhV,-
NarL,ydhW,-
NarL,ydhX,-
NarL,ydhU,-
NarL,ydhT,-
NarL,yoaG,+
NarL,yeaR,+
NarL,ccmH,-
NarL,ccmG,-
NarL,ccmF,-
NarL,ccmE,-
NarL,ccmD,-
NarL,ccmC,-
NarL,ccmB,-
NarL,ccmA,-
NarL,napC,-
NarL,napB,-
NarL,napH,-
NarL,napG,-
NarL,napA,-
NarL,napD,-
NarL,napF,-
NarL,nuoN,+
NarL,nuoM,+
NarL,nuoL,+
NarL,nuoK,+
NarL,nuoJ,+
NarL,nuoI,+
NarL,nuoH,+
NarL,nuoG,+
NarL,nuoF,+
NarL,nuoE,+
NarL,nuoC,+
NarL,nuoB,+
NarL,nuoA,+
NarL,norV,-
NarL,norW,-
NarL,hybO,-
NarL,hybA,-
NarL,hybB,-
NarL,hybC,-
NarL,hybD,-
NarL,hybE,-
NarL,hybF,-
NarL,hybG,-
NarL,nirB,+
NarL,nirD,+
NarL,nirC,+
NarL,cysG,+
NarL,nikA,-
NarL,nikB,-
NarL,nikC,-
NarL,nikD,-
NarL,nikE,-
NarL,nikR,-
NarL,ubiC,-
NarL,ubiA,-
NarL,nrfA,+
NarL,nrfB,+
NarL,nrfC,+
NarL,nrfD,+
NarL,nrfE,+
NarL,nrfF,+
NarL,nrfG,+
NarL,fdhF,-
NarL,dcuB,-
NarL,fumB,-
NarL,dcuR,-
NarL,dcuS,-
NarL,aspA,-
NarL,dcuA,-
NarL,frdD,-
NarL,frdC,-
NarL,frdB,-
NarL,frdA,-
NarL,ytfE,+
Hns,nhaA,-
Hns,nhaR,-
Hns,caiF,-
Hns,caiE,-
Hns,caiD,-
Hns,caiC,-
Hns,caiB,-
Hns,caiA,-
Hns,caiT,-
Hns,leuO,-
Hns,leuO,-
Hns,ilvI,-
Hns,ilvH,-
Hns,degP,-
Hns,rrsH,-
Hns,ileV,-
Hns,alaV,-
Hns,rrlH,-
Hns,rrfH,-
Hns,lacZ,-
Hns,lacY,-
Hns,lacA,-
Hns,bolA,-
Hns,appY,-
Hns,fes,+
Hns,entF,+
Hns,fepE,+
Hns,cydA,-
Hns,cydB,-
Hns,galE,-
Hns,galT,-
Hns,galK,-
Hns,galM,-
Hns,dps,-
Hns,cspD,+
Hns,lrp,-
Hns,cmoM,+
Hns,mukF,+
Hns,mukE,+
Hns,mukB,+
Hns,hlyE,+
Hns,hlyE,-
Hns,hns,-
Hns,yciE,-
Hns,yciF,-
Hns,yciG,-
Hns,osmC,-
Hns,ydeO,-
Hns,ydeP,-
Hns,asr,-
Hns,flhD,+
Hns,flhC,+
Hns,ftnA,-
Hns,fliA,+
Hns,fliZ,+
Hns,tcyJ,+
Hns,fliC,+
Hns,rcsA,-
Hns,hchA,-
Hns,rcsD,-
Hns,rcsB,-
Hns,nrdA,-
Hns,nrdB,-
Hns,yfaE,-
Hns,hisP,+
Hns,hisM,+
Hns,hisQ,+
Hns,hisJ,+
Hns,evgA,-
Hns,evgS,-
Hns,cysM,-
Hns,cysA,-
Hns,cysW,-
Hns,cysU,-
Hns,cysP,-
Hns,csiE,+
Hns,rrfG,-
Hns,rrlG,-
Hns,gltW,-
Hns,rrsG,-
Hns,csiD,+
Hns,lhgO,+
Hns,gabD,+
Hns,gabT,+
Hns,gabP,+
Hns,stpA,-
Hns,proV,-
Hns,proW,-
Hns,proX,-
Hns,proV,-
Hns,proW,-
Hns,proX,-
Hns,srlA,+
Hns,srlE,+
Hns,srlB,+
Hns,srlD,+
Hns,gutM,+
Hns,srlR,+
Hns,gutQ,+
Hns,casA,-
Hns,casB,-
Hns,casC,-
Hns,casD,-
Hns,casE,-
Hns,cas1,-
Hns,cas2,-
Hns,mazF,+
Hns,mazE,+
Hns,relA,+
Hns,ssrS,-
Hns,fau,-
Hns,garP,-
Hns,garL,-
Hns,garR,-
Hns,garK,-
Hns,rnpB,-
Hns,acrE,-
Hns,acrF,-
Hns,rrfF,-
Hns,thrV,-
Hns,rrfD,-
Hns,rrlD,-
Hns,alaU,-
Hns,ileU,-
Hns,rrsD,-
Hns,gspB,-
Hns,gspA,-
Hns,gspC,-
Hns,gspD,-
Hns,gspE,-
Hns,gspF,-
Hns,gspG,-
Hns,gspH,-
Hns,gspI,-
Hns,gspJ,-
Hns,gspK,-
Hns,gspL,-
Hns,gspM,-
Hns,gspO,-
Hns,chiA,-
Hns,nirB,-
Hns,nirD,-
Hns,nirC,-
Hns,cysG,-
Hns,yhiM,-
Hns,slp,-
Hns,dctR,-
Hns,hdeA,-
Hns,hdeB,-
Hns,yhiD,-
Hns,hdeD,-
Hns,gadE,-
Hns,gadF,-
Hns,mdtE,-
Hns,mdtF,-
Hns,gadW,-
Hns,gadX,-
Hns,gadW,-
Hns,gadA,-
Hns,cspA,-
Hns,adeD,-
Hns,bglG,-
Hns,bglF,-
Hns,bglB,-
Hns,rrsC,-
Hns,gltU,-
Hns,rrlC,-
Hns,rrfC,-
Hns,rrsB,-
Hns,gltT,-
Hns,rrlB,-
Hns,rrfB,-
Hns,adiY,-
Hns,adiA,-
Hns,cadB,-
Hns,cadA,-
Hns,cadC,-
Hns,nrdG,-
Hns,nrdD,-
Hns,fimB,-
Hns,fimE,-
Hns,fimA,+
Hns,fimI,+
Hns,fimC,+
Hns,fimD,+
Hns,fimF,+
Hns,fimG,+
Hns,fimH,+
Hns,yjjP,-
Hns,yjjQ,-
Hns,bglJ,-
Hns,micF,-
Hns,hdfR,-
Hns,ybdZ,+
CysB,tauA,+
CysB,tauB,+
CysB,tauC,+
CysB,tauD,+
CysB,ybdN,+
CysB,ssuB,-
CysB,ssuC,-
CysB,ssuD,-
CysB,ssuA,-
CysB,ssuE,-
CysB,cysB,-
CysB,yciW,+
CysB,hslJ,-
CysB,dgcZ,+
CysB,tcyP,+
CysB,yoaC,+
CysB,tcyJ,+
CysB,cbl,+
CysB,yfbR,+
CysB,cysK,+
CysB,cysM,+
CysB,cysA,+
CysB,cysW,+
CysB,cysU,+
CysB,cysP,+
CysB,cysD,+
CysB,cysN,+
CysB,cysC,+
CysB,cysH,+
CysB,cysI,+
CysB,cysJ,+
CysB,ygeH,+
PuuR,puuA,-
PuuR,puuP,-
PuuR,puuD,-
PuuR,puuR,-
PuuR,puuC,-
PuuR,puuB,-
PuuR,puuE,-
PspF,pspF,-
PspF,pspA,+
PspF,pspB,+
PspF,pspC,+
PspF,pspD,+
PspF,pspE,+
PspF,pspG,+
TyrR,folA,+
TyrR,aroP,-
TyrR,aroL,-
TyrR,yaiA,-
TyrR,aroM,-
TyrR,aroG,-
TyrR,tyrR,-
TyrR,tyrP,+
TyrR,tyrA,-
TyrR,aroF,-
TyrR,mtr,+
TyrR,tyrB,-
PgrR,ycjX,-
PgrR,ycjF,-
PgrR,tyrR,-
PgrR,ycjG,-
PgrR,mpaA,-
PgrR,ycjY,-
PgrR,ymjC,-
PgrR,ymjD,-
Fnr,thrA,+
Fnr,thrB,+
Fnr,thrC,+
Fnr,thrL,+
Fnr,caiF,+
Fnr,caiF,+
Fnr,caiE,+
Fnr,caiD,+
Fnr,caiC,+
Fnr,caiB,+
Fnr,caiA,+
Fnr,caiT,+
Fnr,fixA,+
Fnr,fixB,+
Fnr,fixC,+
Fnr,fixX,+
Fnr,aroP,+
Fnr,pdhR,-
Fnr,aceE,-
Fnr,aceF,-
Fnr,lpd,-
Fnr,pdhR,+
Fnr,aceE,+
Fnr,aceF,+
Fnr,lpd,+
Fnr,aceE,-
Fnr,aceF,-
Fnr,aceE,-
Fnr,aceF,-
Fnr,lpd,-
Fnr,pdhR,-
Fnr,aceE,+
Fnr,aceF,+
Fnr,lpd,+
Fnr,pdhR,+
Fnr,lpd,+
Fnr,lpd,-
Fnr,glnD,+
Fnr,glnD,-
Fnr,metQ,+
Fnr,metI,+
Fnr,metN,+
Fnr,gmhB,+
Fnr,gmhB,-
Fnr,aspV,+
Fnr,aspV,-
Fnr,yafT,+
Fnr,yafT,-
Fnr,ddlA,-
Fnr,iraP,-
Fnr,cyoE,-
Fnr,cyoD,-
Fnr,cyoC,-
Fnr,cyoB,-
Fnr,cyoA,-
Fnr,glnK,-
Fnr,glnK,+
Fnr,amtB,-
Fnr,amtB,+
Fnr,nohB,+
Fnr,nohB,-
Fnr,fes,+
Fnr,entF,+
Fnr,fepE,+
Fnr,ybdN,+
Fnr,citG,-
Fnr,citX,-
Fnr,citF,-
Fnr,citE,-
Fnr,citD,-
Fnr,citC,-
Fnr,dpiB,-
Fnr,dpiA,-
Fnr,dcuC,+
Fnr,glnU,+
Fnr,glnV,+
Fnr,glnW,+
Fnr,glnX,+
Fnr,leuW,+
Fnr,metT,+
Fnr,metU,+
Fnr,glnU,-
Fnr,glnV,-
Fnr,glnW,-
Fnr,glnX,-
Fnr,leuW,-
Fnr,metT,-
Fnr,metU,-
Fnr,sdhC,-
Fnr,sdhD,-
Fnr,sdhA,-
Fnr,sdhB,-
Fnr,sucA,-
Fnr,sucB,-
Fnr,sucC,-
Fnr,sucD,-
Fnr,sucA,-
Fnr,sucB,-
Fnr,sucC,-
Fnr,sucD,-
Fnr,cydA,+
Fnr,cydA,-
Fnr,cydA,-
Fnr,cydB,+
Fnr,cydB,-
Fnr,cydB,-
Fnr,ybhK,+
Fnr,ybhK,-
Fnr,moaA,+
Fnr,moaA,+
Fnr,moaB,+
Fnr,moaB,+
Fnr,moaC,+
Fnr,moaC,+
Fnr,moaD,+
Fnr,moaD,+
Fnr,moaE,+
Fnr,moaE,+
Fnr,ompX,-
Fnr,ybiS,-
Fnr,ybiT,+
Fnr,ybiT,-
Fnr,ybiW,+
Fnr,ybiW,-
Fnr,ybiY,+
Fnr,ybiY,-
Fnr,fsaA,+
Fnr,fsaA,-
Fnr,moeB,-
Fnr,moeA,-
Fnr,rimO,+
Fnr,rimO,-
Fnr,bssR,+
Fnr,hcp,+
Fnr,hcr,+
Fnr,hcp,+
Fnr,hcr,+
Fnr,aqpZ,+
Fnr,aqpZ,-
Fnr,ybjD,+
Fnr,ybjD,-
Fnr,cydC,-
Fnr,cydD,-
Fnr,cydD,+
Fnr,cydC,+
Fnr,dmsA,+
Fnr,dmsA,+
Fnr,dmsB,+
Fnr,dmsB,+
Fnr,dmsC,+
Fnr,dmsC,+
Fnr,focA,+
Fnr,pflB,+
Fnr,focA,+
Fnr,pflB,+
Fnr,focA,+
Fnr,pflB,+
Fnr,focA,-
Fnr,pflB,-
Fnr,aspC,+
Fnr,aspC,-
Fnr,ssuB,+
Fnr,ssuC,+
Fnr,ssuD,+
Fnr,ssuA,+
Fnr,ssuE,+
Fnr,pyrD,+
Fnr,ptsG,+
Fnr,ndh,-
Fnr,potD,+
Fnr,potC,+
Fnr,potB,+
Fnr,potA,+
Fnr,pepT,+
Fnr,pepT,+
Fnr,iraM,+
Fnr,hlyE,+
Fnr,dhaM,+
Fnr,dhaL,+
Fnr,dhaK,+
Fnr,dhaR,+
Fnr,dhaR,-
Fnr,hemA,-
Fnr,prfA,-
Fnr,prmC,-
Fnr,ychO,-
Fnr,narL,-
Fnr,narL,+
Fnr,narX,-
Fnr,narX,+
Fnr,narK,+
Fnr,narK,+
Fnr,narK,-
Fnr,narG,+
Fnr,narG,+
Fnr,narH,+
Fnr,narH,+
Fnr,narJ,+
Fnr,narJ,+
Fnr,narI,+
Fnr,narI,+
Fnr,adhE,+
Fnr,adhE,+
Fnr,adhE,-
Fnr,ychE,+
Fnr,ychE,-
Fnr,yciB,+
Fnr,yciB,-
Fnr,yciC,+
Fnr,yciC,-
Fnr,ompW,+
Fnr,ompW,+
Fnr,ompW,-
Fnr,acnA,-
Fnr,puuA,-
Fnr,puuP,-
Fnr,tpx,-
Fnr,fnr,-
Fnr,fnr,+
Fnr,dbpA,+
Fnr,dbpA,-
Fnr,uspF,+
Fnr,aldA,-
Fnr,ydcX,+
Fnr,ydcX,-
Fnr,ydcY,+
Fnr,ydcY,-
Fnr,yddG,+
Fnr,yddG,-
Fnr,fdnG,+
Fnr,fdnG,+
Fnr,fdnG,-
Fnr,fdnH,+
Fnr,fdnH,+
Fnr,fdnH,-
Fnr,fdnI,+
Fnr,fdnI,+
Fnr,fdnI,-
Fnr,uxaB,+
Fnr,uxaB,-
Fnr,ydeJ,+
Fnr,ydfZ,+
Fnr,tfaQ,+
Fnr,tfaQ,-
Fnr,ydfN,+
Fnr,ydfN,-
Fnr,nohA,+
Fnr,nohA,-
Fnr,ydfO,+
Fnr,ydfO,-
Fnr,ynfE,+
Fnr,ynfE,+
Fnr,ynfF,+
Fnr,ynfF,+
Fnr,ynfG,+
Fnr,ynfG,+
Fnr,ynfH,+
Fnr,ynfH,+
Fnr,dmsD,+
Fnr,dmsD,+
Fnr,ynfK,+
Fnr,fumC,-
Fnr,fumA,-
Fnr,anmK,+
Fnr,anmK,-
Fnr,slyB,+
Fnr,slyB,-
Fnr,slyA,+
Fnr,slyA,-
Fnr,ydhI,+
Fnr,ydhI,-
Fnr,ydhJ,+
Fnr,ydhJ,-
Fnr,ydhK,+
Fnr,ydhK,-
Fnr,ydhT,+
Fnr,ydhU,+
Fnr,ydhV,+
Fnr,ydhW,+
Fnr,ydhX,+
Fnr,ydhY,+
Fnr,ydhY,+
Fnr,ydhV,+
Fnr,ydhW,+
Fnr,ydhX,+
Fnr,ydhU,+
Fnr,ydhT,+
Fnr,pheM,-
Fnr,rplT,-
Fnr,ydjX,+
Fnr,ydjX,-
Fnr,ydjY,+
Fnr,ydjY,-
Fnr,ydjZ,+
Fnr,ydjZ,-
Fnr,ynjA,+
Fnr,ynjA,-
Fnr,ynjB,+
Fnr,ynjB,-
Fnr,ynjC,+
Fnr,ynjC,-
Fnr,ynjD,+
Fnr,ynjD,-
Fnr,ynjE,+
Fnr,gdhA,+
Fnr,msrB,-
Fnr,msrB,+
Fnr,gapA,+
Fnr,yeaD,+
Fnr,yeaI,+
Fnr,yeaI,-
Fnr,zwf,-
Fnr,pykA,+
Fnr,tar,+
Fnr,tap,+
Fnr,cheR,+
Fnr,cheB,+
Fnr,cheY,+
Fnr,cheZ,+
Fnr,yecR,+
Fnr,yecH,+
Fnr,tyrP,+
Fnr,tyrP,-
Fnr,yedE,-
Fnr,yedF,-
Fnr,nac,-
Fnr,yoeA,+
Fnr,yoeA,-
Fnr,gnd,-
Fnr,yeiL,-
Fnr,yeiQ,+
Fnr,yeiQ,-
Fnr,ccmH,+
Fnr,ccmG,+
Fnr,ccmF,+
Fnr,ccmE,+
Fnr,ccmD,+
Fnr,ccmC,+
Fnr,ccmB,+
Fnr,ccmA,+
Fnr,napC,+
Fnr,napB,+
Fnr,napH,+
Fnr,napG,+
Fnr,napA,+
Fnr,napD,+
Fnr,napF,+
Fnr,yfaL,+
Fnr,yfaL,-
Fnr,nrdA,-
Fnr,nrdB,-
Fnr,yfaE,-
Fnr,glpQ,+
Fnr,glpT,+
Fnr,glpA,+
Fnr,glpB,+
Fnr,glpC,+
Fnr,arnB,-
Fnr,arnC,-
Fnr,arnA,-
Fnr,arnD,-
Fnr,arnT,-
Fnr,arnF,-
Fnr,nuoN,-
Fnr,nuoN,+
Fnr,nuoM,-
Fnr,nuoM,+
Fnr,nuoL,-
Fnr,nuoL,+
Fnr,nuoK,-
Fnr,nuoK,+
Fnr,nuoJ,-
Fnr,nuoJ,+
Fnr,nuoI,-
Fnr,nuoI,+
Fnr,nuoH,-
Fnr,nuoH,+
Fnr,nuoG,-
Fnr,nuoG,+
Fnr,nuoF,-
Fnr,nuoF,+
Fnr,nuoE,-
Fnr,nuoE,+
Fnr,nuoC,-
Fnr,nuoC,+
Fnr,nuoB,-
Fnr,nuoB,+
Fnr,nuoA,-
Fnr,nuoA,+
Fnr,yfbV,+
Fnr,yfbV,-
Fnr,ackA,+
Fnr,ackA,+
Fnr,pta,+
Fnr,yfcC,+
Fnr,yfcC,-
Fnr,yfcZ,+
Fnr,fadL,+
Fnr,fadL,-
Fnr,emrY,+
Fnr,emrK,+
Fnr,yffL,+
Fnr,yffL,-
Fnr,yffQ,+
Fnr,yffQ,-
Fnr,yffR,+
Fnr,yffR,-
Fnr,yffS,-
Fnr,yffS,+
Fnr,hyfA,-
Fnr,hyfB,-
Fnr,hyfC,-
Fnr,hyfD,-
Fnr,hyfE,-
Fnr,hyfF,-
Fnr,hyfG,-
Fnr,hyfH,-
Fnr,hyfI,-
Fnr,hyfJ,-
Fnr,hyfR,-
Fnr,focB,-
Fnr,upp,+
Fnr,uraA,+
Fnr,upp,+
Fnr,uraA,+
Fnr,purM,-
Fnr,purM,+
Fnr,purN,-
Fnr,purN,+
Fnr,pdeF,+
Fnr,guaA,+
Fnr,guaB,+
Fnr,xseA,+
Fnr,xseA,-
Fnr,hmp,-
Fnr,grcA,-
Fnr,grcA,+
Fnr,yfiD,+
Fnr,ung,+
Fnr,ung,-
Fnr,rpsP,-
Fnr,rimM,-
Fnr,trmD,-
Fnr,rplS,-
Fnr,norV,-
Fnr,norW,-
Fnr,hypB,+
Fnr,hypC,+
Fnr,hypD,+
Fnr,hypE,+
Fnr,fhlA,+
Fnr,ygbA,-
Fnr,ygcN,+
Fnr,ygcN,-
Fnr,ygcO,+
Fnr,ygcO,-
Fnr,ygcP,+
Fnr,ygcP,-
Fnr,eno,-
Fnr,pyrG,-
Fnr,yqcA,-
Fnr,truC,-
Fnr,yqcC,-
Fnr,mltA,+
Fnr,mltA,-
Fnr,metV,+
Fnr,metW,+
Fnr,metZ,+
Fnr,metV,-
Fnr,metW,-
Fnr,metZ,-
Fnr,xdhA,+
Fnr,xdhB,+
Fnr,xdhC,+
Fnr,gcvP,+
Fnr,gcvH,+
Fnr,gcvT,+
Fnr,speB,+
Fnr,speB,-
Fnr,speA,+
Fnr,speA,-
Fnr,yqgB,+
Fnr,yqgB,-
Fnr,yqgC,+
Fnr,yqgD,+
Fnr,yqgD,-
Fnr,metK,+
Fnr,ansB,+
Fnr,hybG,+
Fnr,hybF,+
Fnr,hybE,+
Fnr,hybD,+
Fnr,hybC,+
Fnr,hybB,+
Fnr,hybA,+
Fnr,hybO,+
Fnr,yghW,+
Fnr,yqhA,+
Fnr,yqhA,-
Fnr,yghA,-
Fnr,yghB,+
Fnr,yghB,-
Fnr,yqjI,+
Fnr,aer,+
Fnr,uxaA,+
Fnr,uxaA,+
Fnr,uxaA,-
Fnr,uxaC,+
Fnr,uxaC,+
Fnr,uxaC,-
Fnr,exuT,+
Fnr,exuT,-
Fnr,tdcA,+
Fnr,tdcB,+
Fnr,tdcC,+
Fnr,tdcD,+
Fnr,tdcE,+
Fnr,tdcF,+
Fnr,tdcG,+
Fnr,tdcR,+
Fnr,tdcR,-
Fnr,yhaB,+
Fnr,yhaB,-
Fnr,yhaC,+
Fnr,yhaC,-
Fnr,garK,+
Fnr,garL,+
Fnr,garP,+
Fnr,garR,+
Fnr,rnpB,+
Fnr,garK,-
Fnr,garL,-
Fnr,garP,-
Fnr,garR,-
Fnr,rnpB,-
Fnr,garP,+
Fnr,garL,+
Fnr,garR,+
Fnr,garK,+
Fnr,rnpB,+
Fnr,garD,+
Fnr,garD,-
Fnr,yhbS,+
Fnr,yhbT,+
Fnr,yhbU,+
Fnr,yhbV,+
Fnr,infB,+
Fnr,metY,+
Fnr,nusA,+
Fnr,pnp,+
Fnr,rbfA,+
Fnr,rimP,+
Fnr,rpsO,+
Fnr,truB,+
Fnr,argG,+
Fnr,argG,-
Fnr,leuU,+
Fnr,secG,+
Fnr,rpmA,+
Fnr,rpmA,-
Fnr,rplU,+
Fnr,rplU,-
Fnr,ispB,+
Fnr,ispB,-
Fnr,yhcC,+
Fnr,yhcC,-
Fnr,gltB,-
Fnr,gltD,-
Fnr,gltF,-
Fnr,gltB,+
Fnr,gltD,+
Fnr,gltF,+
Fnr,gltB,-
Fnr,gltD,-
Fnr,gltF,-
Fnr,rpsI,-
Fnr,rplM,-
Fnr,acrE,+
Fnr,acrF,+
Fnr,rpsQ,+
Fnr,rpmC,+
Fnr,rplP,+
Fnr,rpsC,+
Fnr,rplV,+
Fnr,rpsS,+
Fnr,rplB,+
Fnr,rplW,+
Fnr,rplD,+
Fnr,rplC,+
Fnr,rpsJ,+
Fnr,nirB,+
Fnr,nirB,+
Fnr,nirD,+
Fnr,nirD,+
Fnr,nirC,+
Fnr,nirC,+
Fnr,cysG,+
Fnr,cysG,+
Fnr,feoA,+
Fnr,feoB,+
Fnr,feoC,+
Fnr,malQ,+
Fnr,malP,+
Fnr,asd,+
Fnr,asd,-
Fnr,yhgN,+
Fnr,yhgN,-
Fnr,nikA,+
Fnr,nikB,+
Fnr,nikC,+
Fnr,nikD,+
Fnr,nikE,+
Fnr,nikR,+
Fnr,nikA,+
Fnr,nikB,+
Fnr,nikC,+
Fnr,nikD,+
Fnr,nikE,+
Fnr,nikR,+
Fnr,yhiN,+
Fnr,yhiN,-
Fnr,pitA,+
Fnr,pitA,+
Fnr,uspB,-
Fnr,uspA,+
Fnr,uspA,-
Fnr,gadX,-
Fnr,gadW,-
Fnr,gadA,-
Fnr,yhjA,+
Fnr,bcsZ,+
Fnr,bcsB,+
Fnr,dppA,-
Fnr,dppB,-
Fnr,dppC,-
Fnr,dppD,-
Fnr,dppF,-
Fnr,yibN,+
Fnr,gpmM,+
Fnr,envC,+
Fnr,yibQ,+
Fnr,recF,+
Fnr,dnaN,+
Fnr,dnaA,+
Fnr,rpmH,+
Fnr,rnpA,+
Fnr,pstA,+
Fnr,pstC,+
Fnr,pstS,+
Fnr,pstB,+
Fnr,phoU,+
Fnr,viaA,+
Fnr,ravA,+
Fnr,kup,+
Fnr,kup,-
Fnr,ysgA,-
Fnr,sodA,-
Fnr,katG,+
Fnr,katG,+
Fnr,ubiC,-
Fnr,ubiA,-
Fnr,soxS,-
Fnr,soxR,-
Fnr,acs,+
Fnr,actP,+
Fnr,yjcH,+
Fnr,acs,-
Fnr,actP,-
Fnr,yjcH,-
Fnr,nrfA,+
Fnr,nrfA,+
Fnr,nrfB,+
Fnr,nrfB,+
Fnr,nrfC,+
Fnr,nrfC,+
Fnr,nrfD,+
Fnr,nrfD,+
Fnr,nrfE,+
Fnr,nrfE,+
Fnr,nrfF,+
Fnr,nrfF,+
Fnr,nrfG,+
Fnr,nrfG,+
Fnr,fdhF,+
Fnr,fumB,+
Fnr,dcuB,+
Fnr,fumB,+
Fnr,dcuR,+
Fnr,dcuS,+
Fnr,cadC,+
Fnr,aspA,+
Fnr,dcuA,+
Fnr,yjeH,+
Fnr,yjeH,-
Fnr,groS,-
Fnr,groL,-
Fnr,frdD,+
Fnr,frdD,+
Fnr,frdC,+
Fnr,frdC,+
Fnr,frdB,+
Fnr,frdB,+
Fnr,frdA,+
Fnr,frdA,+
Fnr,poxA,+
Fnr,poxA,-
Fnr,yjeT,+
Fnr,purA,+
Fnr,ytfE,-
Fnr,nrdG,+
Fnr,nrdG,+
Fnr,nrdD,+
Fnr,nrdD,+
Fnr,iraD,+
Fnr,hsdS,+
Fnr,hsdM,+
Fnr,hsdR,+
Fnr,mrr,+
Fnr,mrr,-
Fnr,fhuF,-
Fnr,leuV,-
Fnr,leuP,-
Fnr,leuQ,-
Fnr,arcA,-
Fnr,arcA,+
Fnr,arcA,+
Fnr,arcA,-
Fnr,yjjY,+
Fnr,yjjY,-
Fnr,csrB,-
Fnr,ybdZ,+
Fnr,ynfO,+
