TF,gene,effect
MraZ,mioC,-
PdhR,mraZ,-
PdhR,rsmH,-
PdhR,ftsL,-
PdhR,ftsI,-
PdhR,murE,-
PdhR,murF,-
PdhR,mraY,-
PdhR,murD,-
PdhR,ftsW,-
PdhR,murG,-
PdhR,murC,-
PdhR,ddlB,-
PdhR,ftsQ,-
PdhR,ftsA,-
PdhR,ftsZ,-
PdhR,lpxC,-
PdhR,pdhR,-
PdhR,aceE,-
PdhR,aceF,-
PdhR,lpd,-
PdhR,hemL,-
PdhR,cyoE,-
PdhR,cyoD,-
PdhR,cyoC,-
PdhR,cyoB,-
PdhR,cyoA,-
PdhR,hha,-
PdhR,tomB,-
PdhR,ndh,-
PdhR,grcA,-
PdhR,glcD,-
PdhR,glcE,-
PdhR,glcF,-
PdhR,glcG,-
PdhR,glcB,-
PdhR,glcA,-
PdhR,fecA,+
PdhR,fecB,+
PdhR,fecC,+
PdhR,fecD,+
PdhR,fecE,+
CdaR,cdaR,+
CdaR,gudD,+
CdaR,gudX,+
CdaR,gudP,+
CdaR,garP,+
CdaR,garL,+
CdaR,garR,+
CdaR,garK,+
CdaR,rnpB,+
CdaR,garD,+
DinJ;yafQ,yafQ,-
DinJ;yafQ,dinJ,-
DinJ;yafQ,cspE,-
MatA,ecpA,+
MatA,ecpR,+
MatA,flhD,-
MatA,flhC,-
MatA,fliA,-
MatA,fliZ,-
MatA,tcyJ,-
MatA,fliC,-
RclR,rclC,+
RclR,rclB,+
RclR,rclA,+
BetI,betA,-
BetI,betB,-
BetI,betI,-
BetI,betT,-
PdeL,pdeL,+
PrpR,prpR,-
PrpR,prpB,+
PrpR,prpC,+
PrpR,prpD,+
PrpR,prpE,+
CynR,cynR,-
CynR,cynT,+
CynR,cynS,+
CynR,cynX,+
LacI,lacZ,-
LacI,lacY,-
LacI,lacA,-
MhpR,mhpA,+
MhpR,mhpB,+
MhpR,mhpC,+
MhpR,mhpD,+
MhpR,mhpF,+
MhpR,mhpE,+
PhoB,cra,-
PhoB,phoE,+
PhoB,prpR,-
PhoB,phoA,+
PhoB,psiF,+
PhoB,sbcC,-
PhoB,sbcD,-
PhoB,phoB,+
PhoB,phoR,+
PhoB,cusR,+
PhoB,cusS,+
PhoB,cusC,+
PhoB,cusF,+
PhoB,cusB,+
PhoB,cusA,+
PhoB,ompF,+
PhoB,phoH,+
PhoB,phoQ,+
PhoB,feaR,-
PhoB,ydfH,+
PhoB,asr,+
PhoB,mipA,+
PhoB,eda,-
PhoB,yedX,+
PhoB,amn,+
PhoB,yegH,+
PhoB,tktB,+
PhoB,argP,+
PhoB,pitB,-
PhoB,ugpQ,-
PhoB,ugpQ,+
PhoB,ugpC,-
PhoB,ugpC,+
PhoB,ugpE,-
PhoB,ugpE,+
PhoB,ugpA,-
PhoB,ugpA,+
PhoB,ugpB,-
PhoB,ugpB,+
PhoB,gadX,+
PhoB,gadW,+
PhoB,yhjC,+
PhoB,waaH,+
PhoB,phoU,+
PhoB,pstA,+
PhoB,pstC,+
PhoB,pstS,+
PhoB,pstB,+
PhoB,phoU,+
PhoB,psiE,+
PhoB,phnP,+
PhoB,phnO,+
PhoB,phnN,+
PhoB,phnM,+
PhoB,phnL,+
PhoB,phnK,+
PhoB,phnJ,+
PhoB,phnI,+
PhoB,phnH,+
PhoB,phnG,+
PhoB,phnF,+
PhoB,phnE_2,+
PhoB,phnE_1,+
PhoB,phnD,+
PhoB,phnC,+
PhoB,adiC,+
NrdR,nrdA,-
NrdR,nrdB,-
NrdR,yfaE,-
NrdR,nrdH,-
NrdR,nrdI,-
NrdR,nrdE,-
NrdR,nrdF,-
NrdR,nrdG,-
NrdR,nrdD,-
BolA,dacC,-
BolA,dacC,+
BolA,ampC,+
BolA,ampC,-
AcrR,acrA,-
AcrR,acrB,-
AcrR,acrR,-
AcrR,marR,-
AcrR,marA,-
AcrR,marB,-
AcrR,flhD,-
AcrR,flhC,-
AcrR,soxS,-
AcrR,soxR,-
AcrR,micF,-
CueR,cueO,+
CueR,copA,+
CueR,moaA,-
CueR,moaB,-
CueR,moaC,-
CueR,moaD,-
CueR,moaE,-
AllS,allE,+
AllS,allC,+
AllS,allD,+
AllR,allS,-
AllR,allA,-
AllR,gcl,-
AllR,hyi,-
AllR,glxR,-
AllR,ybbW,-
AllR,allB,-
AllR,ybbY,-
AllR,glxK,-
AppY,hyaA,+
AppY,hyaB,+
AppY,hyaC,+
AppY,hyaD,+
AppY,hyaE,+
AppY,hyaF,+
AppY,appC,+
AppY,appB,+
AppY,appX,+
AppY,appA,+
EnvY,ompF,+
EnvY,ompC,+
CusR,cyoE,+
CusR,cyoD,+
CusR,cyoC,+
CusR,cyoB,+
CusR,cyoA,+
CusR,cusR,+
CusR,cusS,+
CusR,cusC,+
CusR,cusF,+
CusR,cusB,+
CusR,cusA,+
CusR,yedX,+
DpiA,appY,-
DpiA,citG,+
DpiA,citX,+
DpiA,citF,+
DpiA,citE,+
DpiA,citD,+
DpiA,citC,+
DpiA,dpiB,+
DpiA,dpiA,+
DpiA,exuT,+
DpiA,mdh,+
NagC,nagB,-
NagC,nagA,-
NagC,nagC,-
NagC,umpH,-
NagC,nagE,-
NagC,chiP,-
NagC,ybfN,-
NagC,dinI,-
NagC,ydeM,-
NagC,ydeN,-
NagC,ydeP,-
NagC,chbG,-
NagC,chbF,-
NagC,chbR,-
NagC,chbA,-
NagC,chbC,-
NagC,chbB,-
NagC,manX,-
NagC,manY,-
NagC,manZ,-
NagC,ptsH,-
NagC,ptsI,-
NagC,crr,-
NagC,galP,-
NagC,feoA,-
NagC,feoB,-
NagC,feoC,-
NagC,feoA,+
NagC,feoB,+
NagC,feoC,+
NagC,glmU,-
NagC,glmS,-
NagC,glmU,+
NagC,glmS,+
NagC,nanS,-
NagC,nanM,-
NagC,nanC,-
NagC,fimB,+
NagC,creA,-
NagC,creB,-
NagC,creC,-
NagC,creD,-
Fur,lpd,-
Fur,lpd,+
Fur,fhuA,-
Fur,fhuA,-
Fur,fhuC,-
Fur,fhuC,-
Fur,fhuD,-
Fur,fhuD,-
Fur,fhuB,-
Fur,fhuB,-
Fur,glnD,-
Fur,crl,-
Fur,yagI,+
Fur,argF,+
Fur,cyoE,-
Fur,cyoD,-
Fur,cyoC,-
Fur,cyoB,-
Fur,cyoA,-
Fur,glnK,-
Fur,glnK,+
Fur,amtB,-
Fur,amtB,+
Fur,ybaN,-
Fur,adk,+
Fur,entD,-
Fur,entD,-
Fur,fepA,-
Fur,fepA,-
Fur,fes,-
Fur,fes,-
Fur,entF,-
Fur,entF,-
Fur,fepE,-
Fur,fepE,-
Fur,fepC,-
Fur,fepC,-
Fur,fepG,-
Fur,fepG,-
Fur,fepD,-
Fur,fepD,-
Fur,entS,-
Fur,entS,+
Fur,entS,-
Fur,fepB,-
Fur,fepB,-
Fur,entC,-
Fur,entE,-
Fur,entB,-
Fur,entA,-
Fur,entH,-
Fur,entC,-
Fur,entE,-
Fur,entB,-
Fur,entA,-
Fur,entH,-
Fur,fur,-
Fur,sdhC,+
Fur,sdhD,+
Fur,sdhA,+
Fur,sdhB,+
Fur,sucA,+
Fur,sucB,+
Fur,sucC,+
Fur,sucD,+
Fur,gpmA,-
Fur,gpmA,-
Fur,ybiX,-
Fur,fiu,-
Fur,fiu,-
Fur,aspC,-
Fur,ompF,+
Fur,efeU_1,-
Fur,efeU_2,-
Fur,efeO,-
Fur,efeB,-
Fur,pyrC,-
Fur,fhuE,-
Fur,fhuE,-
Fur,ndh,-
Fur,ycgZ,+
Fur,oppA,-
Fur,oppB,-
Fur,oppC,-
Fur,oppD,-
Fur,oppF,-
Fur,tonB,+
Fur,tonB,-
Fur,acnA,+
Fur,fnr,-
Fur,yncE,-
Fur,adhP,-
Fur,yddB,-
Fur,yddA,-
Fur,tfaQ,-
Fur,ydfN,-
Fur,nohA,-
Fur,ynfD,-
Fur,fumC,-
Fur,purR,-
Fur,sufE,-
Fur,sufE,-
Fur,sufS,-
Fur,sufS,-
Fur,sufD,-
Fur,sufD,-
Fur,sufC,-
Fur,sufC,-
Fur,sufB,-
Fur,sufB,-
Fur,sufA,-
Fur,sufA,-
Fur,ydiE,-
Fur,katE,+
Fur,gdhA,-
Fur,gdhA,+
Fur,mntP,+
Fur,zwf,-
Fur,flhD,-
Fur,flhC,-
Fur,ftnB,+
Fur,ftnA,+
Fur,ftnA,+
Fur,zinT,+
Fur,nac,-
Fur,yoeA,-
Fur,gnd,-
Fur,rcnA,-
Fur,rcnB,-
Fur,cirA,-
Fur,cirA,-
Fur,cirA,-
Fur,yojI,-
Fur,mntH,-
Fur,mntH,-
Fur,hmp,-
Fur,grcA,-
Fur,ygaC,-
Fur,nrdH,-
Fur,nrdI,-
Fur,nrdE,-
Fur,nrdF,-
Fur,nrdH,-
Fur,nrdI,-
Fur,nrdE,-
Fur,nrdF,-
Fur,rpoS,-
Fur,hybO,+
Fur,hybA,+
Fur,hybB,+
Fur,hybC,+
Fur,hybD,+
Fur,hybE,+
Fur,hybF,+
Fur,hybG,+
Fur,exbD,-
Fur,exbD,-
Fur,exbD,-
Fur,exbB,-
Fur,exbB,-
Fur,yqjH,-
Fur,yqjH,-
Fur,garP,-
Fur,garL,-
Fur,garR,-
Fur,garK,-
Fur,rnpB,-
Fur,gltB,-
Fur,gltD,-
Fur,gltF,-
Fur,gspC,-
Fur,gspD,-
Fur,gspE,-
Fur,gspF,-
Fur,gspG,-
Fur,gspH,-
Fur,gspI,-
Fur,gspJ,-
Fur,gspK,-
Fur,gspL,-
Fur,gspM,-
